birth_id,linkage_cluster_id,b_gt_cluster_id
B_1892_000099,b-linkage-bundle-000014,b-gt-bundle-000029
B_1895_000100,b-linkage-bundle-000014,b-gt-bundle-000029
B_1893_000105,b-linkage-bundle-000015,b-gt-bundle-000032
B_1893_005942,b-linkage-bundle-000018,b-gt-bundle-001783
B_1895_005943,b-linkage-bundle-000018,b-gt-bundle-001783
B_1892_000137,b-linkage-bundle-000023,b-gt-bundle-000044
B_1894_000138,b-linkage-bundle-000023,b-gt-bundle-000044
B_1891_000204,b-linkage-bundle-000027,b-gt-bundle-000068
B_1895_009916,b-linkage-bundle-000035,b-gt-bundle-002691
B_1892_000294,b-linkage-bundle-000040,b-gt-bundle-000091
B_1896_007915,b-linkage-bundle-000040,b-gt-bundle-002271
B_1891_014554,b-linkage-bundle-000041,b-gt-bundle-003582
B_1893_014555,b-linkage-bundle-000041,b-gt-bundle-003582
B_1895_014556,b-linkage-bundle-000041,b-gt-bundle-003582
B_1898_014557,b-linkage-bundle-000041,b-gt-bundle-003582
B_1895_008066,b-linkage-bundle-000042,b-gt-bundle-002305
B_1896_008067,b-linkage-bundle-000042,b-gt-bundle-002305
B_1897_013917,b-linkage-bundle-000050,b-gt-bundle-003447
B_1897_008009,b-linkage-bundle-000052,b-gt-bundle-002286
B_1895_000456,b-linkage-bundle-000061,b-gt-bundle-000141
B_1899_000458,b-linkage-bundle-000061,b-gt-bundle-000141
B_1893_000502,b-linkage-bundle-000067,b-gt-bundle-000159
B_1895_000520,b-linkage-bundle-000069,b-gt-bundle-000164
B_1896_000521,b-linkage-bundle-000069,b-gt-bundle-000164
B_1895_000535,b-linkage-bundle-000071,b-gt-bundle-000170
B_1898_000536,b-linkage-bundle-000071,b-gt-bundle-000170
B_1898_000591,b-linkage-bundle-000075,b-gt-bundle-000184
B_1894_003245,b-linkage-bundle-000076,b-gt-bundle-001033
B_1892_000644,b-linkage-bundle-000083,b-gt-bundle-000205
B_1894_000645,b-linkage-bundle-000083,b-gt-bundle-000205
B_1896_000646,b-linkage-bundle-000083,b-gt-bundle-000205
B_1898_000647,b-linkage-bundle-000083,b-gt-bundle-000205
B_1892_000752,b-linkage-bundle-000097,b-gt-bundle-000236
B_1895_000754,b-linkage-bundle-000097,b-gt-bundle-000236
B_1892_003229,b-linkage-bundle-000117,b-gt-bundle-001029
B_1894_003230,b-linkage-bundle-000117,b-gt-bundle-001029
B_1897_003232,b-linkage-bundle-000117,b-gt-bundle-001030
B_1898_010688,b-linkage-bundle-000117,b-gt-bundle-001030
B_1892_000920,b-linkage-bundle-000126,b-gt-bundle-000288
B_1892_015266,b-linkage-bundle-000127,b-gt-bundle-003731
B_1893_015267,b-linkage-bundle-000127,b-gt-bundle-000290
B_1894_015268,b-linkage-bundle-000127,b-gt-bundle-000290
B_1896_015269,b-linkage-bundle-000127,b-gt-bundle-000290
B_1898_015270,b-linkage-bundle-000127,b-gt-bundle-000290
B_1894_000934,b-linkage-bundle-000128,b-gt-bundle-000294
B_1896_000935,b-linkage-bundle-000128,b-gt-bundle-000294
B_1894_000947,b-linkage-bundle-000130,b-gt-bundle-000303
B_1893_004125,b-linkage-bundle-000134,b-gt-bundle-001264
B_1898_001030,b-linkage-bundle-000140,b-gt-bundle-000328
B_1894_000987,b-linkage-bundle-000143,b-gt-bundle-000314
B_1893_004181,b-linkage-bundle-000144,b-gt-bundle-001280
B_1898_006568,b-linkage-bundle-000144,b-gt-bundle-001942
B_1898_001114,b-linkage-bundle-000155,b-gt-bundle-000364
B_1893_017266,b-linkage-bundle-000159,b-gt-bundle-000383
B_1895_016097,b-linkage-bundle-000159,b-gt-bundle-000383
B_1897_001155,b-linkage-bundle-000159,b-gt-bundle-000383
B_1893_004400,b-linkage-bundle-000164,b-gt-bundle-001342
B_1894_013205,b-linkage-bundle-000164,b-gt-bundle-001342
B_1896_013207,b-linkage-bundle-000164,b-gt-bundle-001342
B_1898_013208,b-linkage-bundle-000164,b-gt-bundle-001342
B_1891_017133,b-linkage-bundle-000168,b-gt-bundle-004142
B_1894_017135,b-linkage-bundle-000168,b-gt-bundle-004142
B_1896_017136,b-linkage-bundle-000168,b-gt-bundle-004142
B_1893_006727,b-linkage-bundle-000170,b-gt-bundle-001980
B_1895_006728,b-linkage-bundle-000170,b-gt-bundle-001980
B_1898_006729,b-linkage-bundle-000170,b-gt-bundle-001980
B_1891_001256,b-linkage-bundle-000172,b-gt-bundle-000413
B_1893_001257,b-linkage-bundle-000172,b-gt-bundle-000413
B_1894_001304,b-linkage-bundle-000178,b-gt-bundle-000427
B_1899_001307,b-linkage-bundle-000178,b-gt-bundle-000427
B_1893_001437,b-linkage-bundle-000181,b-gt-bundle-000470
B_1897_015953,b-linkage-bundle-000185,b-gt-bundle-003872
B_1893_004506,b-linkage-bundle-000187,b-gt-bundle-001373
B_1895_004507,b-linkage-bundle-000187,b-gt-bundle-001373
B_1896_004508,b-linkage-bundle-000187,b-gt-bundle-001373
B_1893_014993,b-linkage-bundle-000192,b-gt-bundle-003678
B_1891_001435,b-linkage-bundle-000198,b-gt-bundle-000469
B_1892_001436,b-linkage-bundle-000198,b-gt-bundle-000469
B_1895_001438,b-linkage-bundle-000198,b-gt-bundle-000469
B_1891_013684,b-linkage-bundle-000201,b-gt-bundle-003401
B_1892_012950,b-linkage-bundle-000202,b-gt-bundle-000484
B_1896_012951,b-linkage-bundle-000202,b-gt-bundle-000484
B_1897_008368,b-linkage-bundle-000212,b-gt-bundle-002358
B_1892_008375,b-linkage-bundle-000215,b-gt-bundle-002362
B_1893_008376,b-linkage-bundle-000215,b-gt-bundle-002362
B_1895_001647,b-linkage-bundle-000215,b-gt-bundle-000534
B_1896_008377,b-linkage-bundle-000215,b-gt-bundle-002362
B_1899_001617,b-linkage-bundle-000222,b-gt-bundle-000528
B_1891_013689,b-linkage-bundle-000226,b-gt-bundle-003404
B_1893_001678,b-linkage-bundle-000233,b-gt-bundle-000547
B_1892_004628,b-linkage-bundle-000236,b-gt-bundle-001412
B_1892_001710,b-linkage-bundle-000238,b-gt-bundle-000560
B_1895_001711,b-linkage-bundle-000238,b-gt-bundle-000561
B_1899_001714,b-linkage-bundle-000238,b-gt-bundle-000562
B_1892_015577,b-linkage-bundle-000246,b-gt-bundle-003791
B_1892_011047,b-linkage-bundle-000278,b-gt-bundle-002904
B_1894_007326,b-linkage-bundle-000282,b-gt-bundle-002126
