birth_id,linkage_cluster_id,b_gt_cluster_id
B_1892_011765,b-linkage-bundle-002622,b-gt-bundle-003032
B_1891_007362,b-linkage-bundle-003280,b-gt-bundle-002136
B_1895_013334,b-linkage-bundle-003551,b-gt-bundle-002987
B_1894_007035,b-linkage-bundle-004118,b-gt-bundle-002062
B_1891_011158,b-linkage-bundle-004478,b-gt-bundle-002479
B_1892_014161,b-linkage-bundle-004707,b-gt-bundle-003497
B_1893_014814,b-linkage-bundle-004742,b-gt-bundle-003638
B_1894_005810,b-linkage-bundle-004811,b-gt-bundle-001742
B_1893_014904,b-linkage-bundle-004837,b-gt-bundle-003660
B_1893_013624,b-linkage-bundle-004846,b-gt-bundle-001258
B_1895_013968,b-linkage-bundle-004864,b-gt-bundle-001206
B_1893_001695,b-linkage-bundle-004885,b-gt-bundle-000553
B_1891_008840,b-linkage-bundle-004953,b-gt-bundle-002461
B_1891_015135,b-linkage-bundle-005017,b-gt-bundle-002240
B_1892_012718,b-linkage-bundle-005032,b-gt-bundle-003218
B_1895_008066,b-linkage-bundle-005055,b-gt-bundle-002305
B_1896_008067,b-linkage-bundle-005055,b-gt-bundle-002305
B_1891_003886,b-linkage-bundle-005069,b-gt-bundle-001198
B_1892_001047,b-linkage-bundle-005115,b-gt-bundle-000334
B_1893_008424,b-linkage-bundle-005128,b-gt-bundle-002370
B_1895_001647,b-linkage-bundle-005133,b-gt-bundle-000534
B_1891_013684,b-linkage-bundle-005143,b-gt-bundle-003401
B_1894_014726,b-linkage-bundle-005194,b-gt-bundle-003619
B_1891_002198,b-linkage-bundle-005197,b-gt-bundle-000712
B_1892_007727,b-linkage-bundle-005248,b-gt-bundle-002213
B_1899_015455,b-linkage-bundle-005302,b-gt-bundle-003762
B_1893_015290,b-linkage-bundle-005360,b-gt-bundle-003734
B_1892_014925,b-linkage-bundle-005365,b-gt-bundle-003664
B_1896_014927,b-linkage-bundle-005365,b-gt-bundle-003664
B_1892_015556,b-linkage-bundle-005384,b-gt-bundle-003787
B_1895_015557,b-linkage-bundle-005384,b-gt-bundle-003787
B_1892_008516,b-linkage-bundle-005402,b-gt-bundle-002027
B_1892_012017,b-linkage-bundle-005441,b-gt-bundle-003074
B_1894_012019,b-linkage-bundle-005441,b-gt-bundle-003074
B_1895_002667,b-linkage-bundle-005487,b-gt-bundle-000843
B_1900_010519,b-linkage-bundle-005502,b-gt-bundle-002799
B_1891_003953,b-linkage-bundle-005609,b-gt-bundle-001215
B_1893_006739,b-linkage-bundle-005625,b-gt-bundle-001982
B_1893_006727,b-linkage-bundle-005632,b-gt-bundle-001980
B_1895_006728,b-linkage-bundle-005632,b-gt-bundle-001980
B_1898_006729,b-linkage-bundle-005632,b-gt-bundle-001980
B_1893_015046,b-linkage-bundle-005704,b-gt-bundle-003692
B_1891_012594,b-linkage-bundle-005770,b-gt-bundle-003192
B_1893_015869,b-linkage-bundle-005817,b-gt-bundle-003856
B_1897_015870,b-linkage-bundle-005817,b-gt-bundle-003856
B_1899_015871,b-linkage-bundle-005817,b-gt-bundle-003856
B_1893_009120,b-linkage-bundle-005823,b-gt-bundle-002523
B_1894_001088,b-linkage-bundle-005881,b-gt-bundle-000348
B_1897_001089,b-linkage-bundle-005881,b-gt-bundle-000348
B_1893_004195,b-linkage-bundle-005886,b-gt-bundle-001284
B_1892_015902,b-linkage-bundle-005888,b-gt-bundle-003864
B_1894_015903,b-linkage-bundle-005888,b-gt-bundle-003864
B_1891_006650,b-linkage-bundle-005897,b-gt-bundle-001972
B_1893_015526,b-linkage-bundle-005912,b-gt-bundle-003776
B_1892_015577,b-linkage-bundle-005940,b-gt-bundle-003791
B_1893_012940,b-linkage-bundle-005945,b-gt-bundle-002262
B_1896_016936,b-linkage-bundle-005945,b-gt-bundle-002262
B_1891_015619,b-linkage-bundle-005974,b-gt-bundle-003800
B_1891_002033,b-linkage-bundle-005984,b-gt-bundle-000658
B_1893_016005,b-linkage-bundle-005996,b-gt-bundle-003158
B_1895_016006,b-linkage-bundle-005996,b-gt-bundle-003158
B_1898_016007,b-linkage-bundle-005996,b-gt-bundle-003158
B_1893_014760,b-linkage-bundle-006013,b-gt-bundle-002910
B_1896_011087,b-linkage-bundle-006013,b-gt-bundle-002910
B_1894_002420,b-linkage-bundle-006017,b-gt-bundle-000778
B_1895_016062,b-linkage-bundle-006063,b-gt-bundle-003888
B_1900_016063,b-linkage-bundle-006063,b-gt-bundle-003888
B_1891_010766,b-linkage-bundle-006140,b-gt-bundle-002853
B_1894_010767,b-linkage-bundle-006140,b-gt-bundle-002853
B_1896_010768,b-linkage-bundle-006140,b-gt-bundle-002853
B_1898_010769,b-linkage-bundle-006140,b-gt-bundle-002853
B_1891_015878,b-linkage-bundle-006147,b-gt-bundle-003858
B_1892_015879,b-linkage-bundle-006147,b-gt-bundle-003858
B_1894_015880,b-linkage-bundle-006147,b-gt-bundle-003858
B_1891_006441,b-linkage-bundle-006159,b-gt-bundle-001909
B_1896_012825,b-linkage-bundle-006184,b-gt-bundle-003241
B_1891_015917,b-linkage-bundle-006186,b-gt-bundle-003866
B_1893_016124,b-linkage-bundle-006190,b-gt-bundle-003902
B_1897_012341,b-linkage-bundle-006192,b-gt-bundle-003141
B_1898_012342,b-linkage-bundle-006192,b-gt-bundle-003141
B_1892_009465,b-linkage-bundle-006223,b-gt-bundle-002584
B_1897_009467,b-linkage-bundle-006223,b-gt-bundle-002584
B_1892_010329,b-linkage-bundle-006252,b-gt-bundle-002765
B_1894_010330,b-linkage-bundle-006252,b-gt-bundle-002765
B_1898_010332,b-linkage-bundle-006252,b-gt-bundle-002765
B_1901_010333,b-linkage-bundle-006252,b-gt-bundle-002765
B_1892_008668,b-linkage-bundle-006285,b-gt-bundle-000685
B_1894_008670,b-linkage-bundle-006285,b-gt-bundle-000685
B_1896_008671,b-linkage-bundle-006285,b-gt-bundle-000685
B_1901_014758,b-linkage-bundle-006285,b-gt-bundle-000685
B_1893_015820,b-linkage-bundle-006291,b-gt-bundle-003845
B_1900_015821,b-linkage-bundle-006291,b-gt-bundle-003845
B_1891_002648,b-linkage-bundle-006318,b-gt-bundle-000839
B_1893_009993,b-linkage-bundle-006347,b-gt-bundle-002709
B_1893_006453,b-linkage-bundle-006352,b-gt-bundle-001910
B_1895_012763,b-linkage-bundle-006365,b-gt-bundle-003230
B_1898_012764,b-linkage-bundle-006365,b-gt-bundle-003230
B_1900_012765,b-linkage-bundle-006365,b-gt-bundle-003230
B_1893_016296,b-linkage-bundle-006372,b-gt-bundle-001920
B_1895_016297,b-linkage-bundle-006372,b-gt-bundle-001920
B_1891_016303,b-linkage-bundle-006374,b-gt-bundle-003930
B_1891_016311,b-linkage-bundle-006378,b-gt-bundle-003931
B_1893_016312,b-linkage-bundle-006378,b-gt-bundle-003931
B_1892_006356,b-linkage-bundle-006395,b-gt-bundle-001891
B_1900_006358,b-linkage-bundle-006395,b-gt-bundle-001891
B_1894_006112,b-linkage-bundle-006396,b-gt-bundle-001828
B_1896_006113,b-linkage-bundle-006396,b-gt-bundle-001828
