census_id,c_gt_cluster_id
C_1901_000008,c-gt-bundle-000001
C_1901_000009,c-gt-bundle-000001
C_1901_000016,c-gt-bundle-000003
C_1901_000021,c-gt-bundle-000004
C_1901_000022,c-gt-bundle-000004
C_1901_000023,c-gt-bundle-000004
C_1901_000024,c-gt-bundle-000004
C_1901_000037,c-gt-bundle-000007
C_1901_000040,c-gt-bundle-000008
C_1901_000041,c-gt-bundle-000008
C_1901_000046,c-gt-bundle-000009
C_1901_000047,c-gt-bundle-000009
C_1901_000048,c-gt-bundle-000009
C_1901_000059,c-gt-bundle-000010
C_1901_000060,c-gt-bundle-000010
C_1901_000061,c-gt-bundle-000010
C_1901_000072,c-gt-bundle-000013
C_1901_000073,c-gt-bundle-000013
C_1901_000085,c-gt-bundle-000014
C_1901_000086,c-gt-bundle-000014
C_1901_000087,c-gt-bundle-000014
C_1901_000088,c-gt-bundle-000014
C_1901_000089,c-gt-bundle-000014
C_1901_000106,c-gt-bundle-000017
C_1901_000107,c-gt-bundle-000017
C_1901_000120,c-gt-bundle-000018
C_1901_000126,c-gt-bundle-000019
C_1901_000127,c-gt-bundle-000019
C_1901_000128,c-gt-bundle-000019
C_1901_000134,c-gt-bundle-000021
C_1901_000144,c-gt-bundle-000023
C_1901_000145,c-gt-bundle-000023
C_1901_000146,c-gt-bundle-000023
C_1901_000156,c-gt-bundle-000025
C_1901_000159,c-gt-bundle-000026
C_1901_000167,c-gt-bundle-000029
C_1901_000168,c-gt-bundle-000029
C_1901_000174,c-gt-bundle-000030
C_1901_000175,c-gt-bundle-000030
C_1901_000176,c-gt-bundle-000030
C_1901_000177,c-gt-bundle-000030
C_1901_000187,c-gt-bundle-000033
C_1901_000188,c-gt-bundle-000033
C_1901_000189,c-gt-bundle-000033
C_1901_000190,c-gt-bundle-000033
C_1901_000194,c-gt-bundle-000034
C_1901_000199,c-gt-bundle-000035
C_1901_000200,c-gt-bundle-000035
C_1901_000201,c-gt-bundle-000035
C_1901_000202,c-gt-bundle-000035
C_1901_000203,c-gt-bundle-000035
C_1901_000207,c-gt-bundle-000036
C_1901_000208,c-gt-bundle-000036
C_1901_000218,c-gt-bundle-000039
C_1901_000219,c-gt-bundle-000039
C_1901_000224,c-gt-bundle-000040
C_1901_000225,c-gt-bundle-000040
C_1901_000228,c-gt-bundle-000041
C_1901_000244,c-gt-bundle-000044
C_1901_000248,c-gt-bundle-000045
C_1901_000257,c-gt-bundle-000046
C_1901_000258,c-gt-bundle-000046
C_1901_000259,c-gt-bundle-000046
C_1901_000260,c-gt-bundle-000046
C_1901_000264,c-gt-bundle-000047
C_1901_000265,c-gt-bundle-000047
C_1901_000266,c-gt-bundle-000047
C_1901_000267,c-gt-bundle-000047
C_1901_000268,c-gt-bundle-000047
C_1901_000290,c-gt-bundle-000050
C_1901_000291,c-gt-bundle-000050
C_1901_000292,c-gt-bundle-000050
C_1901_000297,c-gt-bundle-000051
C_1901_000298,c-gt-bundle-000051
C_1901_000299,c-gt-bundle-000051
C_1901_000305,c-gt-bundle-000052
C_1901_000318,c-gt-bundle-000055
C_1901_000319,c-gt-bundle-000055
C_1901_000320,c-gt-bundle-000056
C_1901_000344,c-gt-bundle-000060
C_1901_000345,c-gt-bundle-000060
C_1901_000348,c-gt-bundle-000061
C_1901_000349,c-gt-bundle-000061
C_1901_000350,c-gt-bundle-000061
C_1901_000351,c-gt-bundle-000061
C_1901_000370,c-gt-bundle-000066
C_1901_000371,c-gt-bundle-000066
C_1901_000385,c-gt-bundle-000069
C_1901_000394,c-gt-bundle-000070
C_1901_000395,c-gt-bundle-000070
C_1901_000400,c-gt-bundle-000071
C_1901_000404,c-gt-bundle-000072
C_1901_000413,c-gt-bundle-000073
C_1901_000418,c-gt-bundle-000074
C_1901_000422,c-gt-bundle-000075
C_1901_000423,c-gt-bundle-000075
C_1901_000429,c-gt-bundle-000077
C_1901_000437,c-gt-bundle-000078
C_1901_000438,c-gt-bundle-000078
C_1901_000439,c-gt-bundle-000078
C_1901_000440,c-gt-bundle-000078
C_1901_000441,c-gt-bundle-000078
C_1901_000450,c-gt-bundle-000079
C_1901_000451,c-gt-bundle-000079
C_1901_000452,c-gt-bundle-000079
C_1901_000463,c-gt-bundle-000081
C_1901_000464,c-gt-bundle-000081
C_1901_000470,c-gt-bundle-000084
C_1901_000471,c-gt-bundle-000084
C_1901_000490,c-gt-bundle-000086
C_1901_000491,c-gt-bundle-000086
C_1901_000492,c-gt-bundle-000086
C_1901_000500,c-gt-bundle-000087
C_1901_000507,c-gt-bundle-000088
C_1901_000508,c-gt-bundle-000088
C_1901_000509,c-gt-bundle-000088
C_1901_000516,c-gt-bundle-000089
C_1901_000517,c-gt-bundle-000089
C_1901_000518,c-gt-bundle-000089
C_1901_000521,c-gt-bundle-000090
C_1901_000522,c-gt-bundle-000090
C_1901_000523,c-gt-bundle-000090
C_1901_000526,c-gt-bundle-000091
C_1901_000541,c-gt-bundle-000092
C_1901_000542,c-gt-bundle-000092
C_1901_000543,c-gt-bundle-000092
C_1901_000547,c-gt-bundle-000093
C_1901_000548,c-gt-bundle-000093
C_1901_000549,c-gt-bundle-000093
C_1901_000550,c-gt-bundle-000093
C_1901_000551,c-gt-bundle-000093
C_1901_000586,c-gt-bundle-000098
C_1901_000587,c-gt-bundle-000098
C_1901_000588,c-gt-bundle-000098
C_1901_000589,c-gt-bundle-000098
C_1901_000590,c-gt-bundle-000098
C_1901_000602,c-gt-bundle-000101
C_1901_000603,c-gt-bundle-000101
C_1901_000610,c-gt-bundle-000102
C_1901_000617,c-gt-bundle-000103
C_1901_000618,c-gt-bundle-000103
C_1901_000623,c-gt-bundle-000104
C_1901_000624,c-gt-bundle-000104
C_1901_000625,c-gt-bundle-000104
C_1901_000626,c-gt-bundle-000104
C_1901_000631,c-gt-bundle-000105
C_1901_000632,c-gt-bundle-000105
C_1901_000633,c-gt-bundle-000105
C_1901_000683,c-gt-bundle-000106
C_1901_000687,c-gt-bundle-000107
C_1901_000697,c-gt-bundle-000108
C_1901_000698,c-gt-bundle-000108
C_1901_000699,c-gt-bundle-000108
C_1901_000700,c-gt-bundle-000108
C_1901_000701,c-gt-bundle-000109
C_1901_000714,c-gt-bundle-000111
C_1901_000715,c-gt-bundle-000111
C_1901_000716,c-gt-bundle-000111
C_1901_000717,c-gt-bundle-000111
C_1901_000724,c-gt-bundle-000112
C_1901_000770,c-gt-bundle-000116
C_1901_000771,c-gt-bundle-000116
C_1901_000772,c-gt-bundle-000116
C_1901_000773,c-gt-bundle-000116
C_1901_000774,c-gt-bundle-000116
C_1901_000781,c-gt-bundle-000117
C_1901_000782,c-gt-bundle-000117
C_1901_000803,c-gt-bundle-000119
C_1901_000804,c-gt-bundle-000119
C_1901_000812,c-gt-bundle-000120
C_1901_000813,c-gt-bundle-000120
C_1901_000814,c-gt-bundle-000120
C_1901_000815,c-gt-bundle-000120
C_1901_000820,c-gt-bundle-000121
C_1901_000836,c-gt-bundle-000124
C_1901_000846,c-gt-bundle-000125
C_1901_000848,c-gt-bundle-000125
C_1901_000849,c-gt-bundle-000125
C_1901_000850,c-gt-bundle-000125
C_1901_000863,c-gt-bundle-000127
C_1901_000875,c-gt-bundle-000129
C_1901_000876,c-gt-bundle-000129
C_1901_000884,c-gt-bundle-000130
C_1901_000902,c-gt-bundle-000133
C_1901_000926,c-gt-bundle-000139
C_1901_000927,c-gt-bundle-000139
C_1901_000928,c-gt-bundle-000139
C_1901_000936,c-gt-bundle-000140
C_1901_000937,c-gt-bundle-000140
C_1901_000942,c-gt-bundle-000141
C_1901_000943,c-gt-bundle-000141
C_1901_000958,c-gt-bundle-000145
C_1901_000973,c-gt-bundle-000148
C_1901_000974,c-gt-bundle-000148
C_1901_000982,c-gt-bundle-000150
C_1901_000983,c-gt-bundle-000150
C_1901_000994,c-gt-bundle-000152
C_1901_001004,c-gt-bundle-000154
C_1901_001009,c-gt-bundle-000156
C_1901_001010,c-gt-bundle-000156
C_1901_001011,c-gt-bundle-000156
C_1901_001017,c-gt-bundle-000157
C_1901_001027,c-gt-bundle-000158
C_1901_001028,c-gt-bundle-000158
C_1901_001049,c-gt-bundle-000162
C_1901_001050,c-gt-bundle-000162
C_1901_001057,c-gt-bundle-000165
C_1901_001058,c-gt-bundle-000165
C_1901_001061,c-gt-bundle-000166
C_1901_001072,c-gt-bundle-000168
C_1901_001073,c-gt-bundle-000168
C_1901_001083,c-gt-bundle-000169
C_1901_001084,c-gt-bundle-000169
C_1901_001085,c-gt-bundle-000169
C_1901_001089,c-gt-bundle-000170
C_1901_001105,c-gt-bundle-000174
C_1901_001106,c-gt-bundle-000174
C_1901_001107,c-gt-bundle-000174
C_1901_001121,c-gt-bundle-000177
C_1901_001122,c-gt-bundle-000177
C_1901_001123,c-gt-bundle-000177
C_1901_001124,c-gt-bundle-000177
C_1901_001127,c-gt-bundle-000178
C_1901_001128,c-gt-bundle-000178
C_1901_001129,c-gt-bundle-000178
C_1901_001130,c-gt-bundle-000178
C_1901_001131,c-gt-bundle-000178
C_1901_001150,c-gt-bundle-000181
C_1901_001151,c-gt-bundle-000181
C_1901_001152,c-gt-bundle-000181
C_1901_001153,c-gt-bundle-000181
C_1901_001163,c-gt-bundle-000183
C_1901_001164,c-gt-bundle-000183
C_1901_001165,c-gt-bundle-000183
C_1901_001172,c-gt-bundle-000184
C_1901_001181,c-gt-bundle-000186
C_1901_001182,c-gt-bundle-000186
C_1901_001187,c-gt-bundle-000187
C_1901_001188,c-gt-bundle-000187
C_1901_001189,c-gt-bundle-000187
C_1901_001190,c-gt-bundle-000187
C_1901_001195,c-gt-bundle-000188
C_1901_001201,c-gt-bundle-000190
C_1901_001202,c-gt-bundle-000190
C_1901_001203,c-gt-bundle-000190
C_1901_001204,c-gt-bundle-000190
C_1901_001219,c-gt-bundle-000192
C_1901_001220,c-gt-bundle-000192
C_1901_001258,c-gt-bundle-000197
C_1901_001277,c-gt-bundle-000199
C_1901_001278,c-gt-bundle-000199
C_1901_001279,c-gt-bundle-000199
C_1901_001280,c-gt-bundle-000199
C_1901_001303,c-gt-bundle-000203
C_1901_001304,c-gt-bundle-000203
C_1901_001305,c-gt-bundle-000203
C_1901_001306,c-gt-bundle-000203
C_1901_001307,c-gt-bundle-000203
C_1901_001315,c-gt-bundle-000204
C_1901_001321,c-gt-bundle-000205
C_1901_001322,c-gt-bundle-000205
C_1901_001323,c-gt-bundle-000205
C_1901_001324,c-gt-bundle-000205
C_1901_001325,c-gt-bundle-000205
C_1901_001341,c-gt-bundle-000207
C_1901_001344,c-gt-bundle-000208
C_1901_001345,c-gt-bundle-000208
C_1901_001346,c-gt-bundle-000208
C_1901_001347,c-gt-bundle-000208
C_1901_001365,c-gt-bundle-000211
C_1901_001384,c-gt-bundle-000214
C_1901_001385,c-gt-bundle-000214
C_1901_001386,c-gt-bundle-000214
C_1901_001405,c-gt-bundle-000217
C_1901_001408,c-gt-bundle-000218
C_1901_001409,c-gt-bundle-000218
C_1901_001415,c-gt-bundle-000219
C_1901_001434,c-gt-bundle-000221
C_1901_001443,c-gt-bundle-000223
C_1901_001444,c-gt-bundle-000223
C_1901_001445,c-gt-bundle-000223
C_1901_001446,c-gt-bundle-000223
C_1901_001447,c-gt-bundle-000223
