birth_id,census_id
B_1861_000044,C_1891_000369
B_1861_000068,C_1891_000344
B_1862_003066,C_1891_001585
B_1862_002983,C_1891_000709
B_1862_002992,C_1891_000733
B_1862_003034,C_1891_000817
B_1863_006016,C_1891_000051
B_1863_000075,C_1891_000158
B_1863_000069,C_1891_000345
B_1863_005985,C_1891_000670
B_1864_007837,C_1891_000098
B_1864_000091,C_1891_000067
B_1864_000046,C_1891_000380
B_1864_000047,C_1891_000379
B_1864_003036,C_1891_000818
B_1864_003067,C_1891_003606
B_1864_005976,C_1891_008814
B_1864_003048,C_1891_000125
B_1865_003031,C_1891_000525
B_1865_005977,C_1891_000596
B_1865_007810,C_1891_000727
B_1865_003053,C_1891_000041
B_1866_003025,C_1891_000498
B_1866_002985,C_1891_000710
B_1866_000049,C_1891_000381
B_1866_000141,C_1891_000564
B_1866_003068,C_1891_001586
B_1867_007772,C_1891_000749
B_1867_003026,C_1891_000500
B_1867_000004,C_1891_000704
B_1868_002995,C_1891_000341
B_1868_006028,C_1891_000465
B_1868_009875,C_1891_000152
B_1868_000085,C_1891_000829
B_1869_002986,C_1891_000711
B_1869_003027,C_1891_000499
B_1869_000026,C_1891_000545
B_1869_000086,C_1891_000827
B_1870_012167,C_1891_000274
B_1870_000005,C_1891_014066
B_1870_007812,C_1891_000728
B_1870_007774,C_1891_000750
B_1871_002987,C_1891_000712
B_1871_003021,C_1891_000135
B_1871_011712,C_1891_000492
B_1871_012660,C_1891_000541
B_1871_003041,C_1891_000391
B_1871_006029,C_1891_000466
B_1872_000021,C_1891_000120
B_1872_012168,C_1891_000275
B_1872_005987,C_1891_000671
B_1872_011241,C_1891_000622
B_1872_007794,C_1891_000554
B_1872_007393,C_1891_005454
B_1873_003028,C_1891_000501
B_1873_007813,C_1891_000729
B_1873_002944,C_1891_000770
B_1873_012661,C_1891_000542
B_1873_003022,C_1891_000136
B_1873_005981,C_1891_000121
B_1873_006037,C_1891_000586
B_1873_006012,C_1891_000530
B_1873_013462,C_1891_000546
B_1873_013466,C_1891_001498
B_1873_002971,C_1891_000190
B_1873_007856,C_1891_000845
B_1873_013471,C_1891_000235
B_1874_012169,C_1891_000276
B_1874_002988,C_1891_000713
B_1874_007795,C_1891_000555
B_1874_000143,C_1891_000565
B_1874_010672,C_1891_000613
B_1874_000006,C_1891_000488
B_1874_000051,C_1891_000382
B_1874_000511,C_1891_000086
B_1874_005541,C_1891_000411
B_1875_013472,C_1891_013084
B_1875_005950,C_1891_000538
B_1875_013463,C_1891_000547
B_1875_006038,C_1891_000587
B_1875_003042,C_1891_000392
B_1875_002945,C_1891_000771
B_1875_005982,C_1891_000122
B_1875_009045,C_1891_005678
B_1876_000089,C_1891_000448
B_1876_007796,C_1891_000577
B_1876_002989,C_1891_000714
